City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.93,18.42,64.4,72,0,13.87,clear sky
1,Rikitea,PF,-23.12,-134.97,74.16,85,93,23.53,overcast clouds
2,Dikson,RU,73.51,80.55,18.09,98,97,8.3,overcast clouds
3,Vila Franca Do Campo,PT,37.72,-25.43,62.6,88,75,16.11,broken clouds
4,Clyde River,CA,70.47,-68.59,10.4,85,1,6.93,clear sky
5,Caravelas,BR,-17.71,-39.25,71.78,84,100,10.54,light rain
6,Busselton,AU,-33.65,115.33,61.0,87,100,5.91,overcast clouds
7,Ponta Do Sol,PT,32.67,-17.1,68.0,88,75,4.7,broken clouds
8,Alexandria,EG,31.22,29.96,71.6,60,40,10.29,scattered clouds
9,New Norfolk,AU,-42.78,147.06,72.0,36,99,3.0,overcast clouds
10,Vaini,TO,-21.2,-175.2,78.8,83,75,10.29,broken clouds
11,Avarua,CK,-21.21,-159.78,78.8,83,84,18.34,light rain
12,Punta Arenas,CL,-53.15,-70.92,51.8,76,0,6.93,clear sky
13,Mandiana,GN,10.63,-8.68,75.36,46,0,2.75,clear sky
14,Nikolskoye,RU,59.7,30.79,35.6,100,90,4.47,overcast clouds
15,Taltal,CL,-25.4,-70.48,58.86,68,12,4.7,few clouds
16,Saskylakh,RU,71.92,114.08,-9.2,88,90,10.69,overcast clouds
17,Hilo,US,19.73,-155.09,86.0,55,1,10.29,clear sky
18,Hermanus,ZA,-34.42,19.23,64.0,83,80,5.01,broken clouds
19,Mana,GF,5.66,-53.78,81.18,79,100,10.27,overcast clouds
20,North Bend,US,43.41,-124.22,59.0,82,1,5.82,clear sky
21,Hinton,CA,53.4,-117.59,48.2,45,100,6.93,overcast clouds
22,Vostok,RU,46.49,135.88,33.49,88,24,4.63,few clouds
23,Provideniya,RU,64.38,-173.3,26.6,63,0,2.24,clear sky
24,Puerto Ayora,EC,-0.74,-90.35,70.0,91,100,5.01,overcast clouds
25,Tasiilaq,GL,65.61,-37.64,28.4,79,0,10.29,clear sky
26,Lasa,IT,46.62,10.7,48.2,81,75,4.7,broken clouds
27,Turukhansk,RU,65.82,87.98,22.44,98,100,12.82,snow
28,Kavaratti,IN,10.57,72.64,80.96,71,0,2.33,clear sky
29,Khuzdar,PK,27.74,66.64,51.4,33,0,3.49,clear sky
30,Bathsheba,BB,13.22,-59.52,82.4,78,40,23.04,scattered clouds
31,Nombre De Dios,MX,23.85,-104.23,73.4,11,5,16.11,clear sky
32,Cedar City,US,37.68,-113.06,66.2,11,1,3.36,clear sky
33,Nhamunda,BR,-2.19,-56.71,84.36,50,23,2.13,few clouds
34,Ushuaia,AR,-54.8,-68.3,59.0,51,75,12.75,broken clouds
35,Cockburn Town,TC,21.46,-71.14,81.93,76,100,18.66,overcast clouds
36,Pontianak,ID,-0.03,109.33,80.46,86,100,2.84,overcast clouds
37,Pfullingen,DE,48.46,9.23,62.6,72,75,6.93,broken clouds
38,Prainha,BR,-1.8,-53.48,84.97,47,52,3.87,broken clouds
39,Jamestown,US,42.1,-79.24,35.01,92,90,18.34,overcast clouds
40,Severnoye,RU,56.35,78.36,31.62,96,86,8.28,overcast clouds
41,Chuy,UY,-33.7,-53.46,53.35,83,0,5.55,clear sky
42,Bengkulu,ID,-3.8,102.27,78.91,83,99,3.13,overcast clouds
43,Victoria,HK,22.29,114.16,78.01,65,100,10.16,overcast clouds
44,Harper,LR,4.38,-7.72,77.23,90,13,6.33,few clouds
45,Bredasdorp,ZA,-34.53,20.04,64.4,88,100,11.41,overcast clouds
46,Bambous Virieux,MU,-20.34,57.76,68.0,94,20,1.12,few clouds
47,Berezovyy,RU,51.67,135.7,33.58,92,100,3.71,overcast clouds
48,Kavieng,PG,-2.57,150.8,87.03,63,7,3.44,clear sky
49,Albany,US,42.6,-73.97,41.0,76,95,9.4,overcast clouds
50,Cayenne,GF,4.93,-52.33,78.8,100,98,2.24,overcast clouds
51,Carnarvon,AU,-24.87,113.63,71.6,56,75,16.11,broken clouds
52,Brainerd,US,46.36,-94.2,28.4,54,1,6.93,clear sky
53,Lunavada,IN,23.13,73.62,67.39,29,0,7.78,clear sky
54,Macia,MZ,-25.03,33.1,65.88,94,59,0.89,broken clouds
55,Port Macquarie,AU,-31.43,152.92,66.2,88,75,12.75,broken clouds
56,Hamilton,US,39.18,-84.53,39.2,48,90,6.93,overcast clouds
57,Castro,BR,-24.79,-50.01,49.87,95,16,7.4,few clouds
58,Mataura,NZ,-46.19,168.86,55.0,65,83,13.0,broken clouds
59,Bluff,NZ,-46.6,168.33,55.0,65,53,13.0,broken clouds
60,Kaitangata,NZ,-46.28,169.85,54.0,64,95,8.99,overcast clouds
61,Natchez,US,31.56,-91.4,62.6,42,1,10.29,clear sky
62,Faya,SA,18.39,42.45,57.2,28,0,1.45,clear sky
