City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.33,66.99,62,76,8.01,AU,2020-10-27 03:26:57
1,Mataura,-46.19,168.86,57.99,65,75,8.01,NZ,2020-10-27 03:30:02
2,Bredasdorp,-34.53,20.04,62.6,93,40,2.24,ZA,2020-10-27 03:30:02
3,Toora-Khem,52.47,96.11,35.4,72,61,3.02,RU,2020-10-27 03:30:03
4,Kamaishi,39.27,141.88,62.6,51,40,1.12,JP,2020-10-27 03:30:03
5,Thompson,55.74,-97.86,21.2,62,40,5.82,CA,2020-10-27 03:30:04
6,Yagodnoye,62.55,149.67,15.93,91,0,0.65,RU,2020-10-27 03:30:05
7,Alice Springs,-23.7,133.88,80.6,13,0,8.05,AU,2020-10-27 03:25:36
8,Kavieng,-2.57,150.8,85.28,60,20,4.56,PG,2020-10-27 03:30:06
9,San Patricio,28.02,-97.52,78.01,83,20,12.75,US,2020-10-27 03:25:59
10,Winslow,35.02,-110.7,30.2,54,40,12.75,US,2020-10-27 03:30:07
11,Qaanaaq,77.48,-69.36,8.67,78,96,9.08,GL,2020-10-27 03:30:07
12,Kahului,20.89,-156.47,86.0,58,40,5.82,US,2020-10-27 03:28:10
13,Cabedelo,-6.98,-34.83,77.0,88,0,6.93,BR,2020-10-27 03:25:30
14,Bondoukou,8.03,-2.8,70.81,85,16,3.06,CI,2020-10-27 03:30:08
15,Saint-Philippe,-21.36,55.77,75.2,73,90,3.36,RE,2020-10-27 03:30:08
16,Corrente,-3.74,-43.34,75.34,88,4,2.86,BR,2020-10-27 03:30:08
17,Viedma,-40.81,-63.0,64.51,28,100,4.94,AR,2020-10-27 03:30:09
18,Laguna,38.42,-121.42,66.99,10,1,8.05,US,2020-10-27 03:25:44
19,Albany,42.6,-73.97,51.01,89,100,1.81,US,2020-10-27 03:29:19
20,Margate,51.38,1.39,51.01,89,11,1.99,GB,2020-10-27 03:30:10
21,Provideniya,64.38,-173.3,32.0,92,90,4.47,RU,2020-10-27 03:30:10
22,Ambilobe,-13.2,49.05,78.24,57,0,4.12,MG,2020-10-27 03:30:11
23,Flinders,-34.58,150.86,71.01,63,75,14.99,AU,2020-10-27 03:30:11
24,Sola,-13.88,167.55,86.0,70,75,11.41,VU,2020-10-27 03:30:12
25,Hobyo,5.35,48.53,79.09,79,79,6.11,SO,2020-10-27 03:30:12
26,Puerto Leguizamo,-0.19,-74.78,75.7,80,20,0.49,CO,2020-10-27 03:30:13
27,Spirit River,55.78,-118.84,46.0,70,75,31.09,CA,2020-10-27 03:30:13
28,Rikitea,-23.12,-134.97,75.54,86,100,15.08,PF,2020-10-27 03:30:13
29,Upernavik,72.79,-56.15,17.6,83,41,4.88,GL,2020-10-27 03:30:14
30,Punta Arenas,-53.15,-70.92,41.0,70,20,20.8,CL,2020-10-27 03:30:14
31,Busko-Zdroj,50.47,20.72,53.01,87,73,3.0,PL,2020-10-27 03:30:14
32,Ushuaia,-54.8,-68.3,46.4,42,20,13.87,AR,2020-10-27 03:26:54
33,Jamestown,42.1,-79.24,43.0,100,90,2.68,US,2020-10-27 03:30:15
34,Hermanus,-34.42,19.23,59.0,88,28,1.86,ZA,2020-10-27 03:30:15
35,Okato,-39.2,173.88,60.01,89,100,7.0,NZ,2020-10-27 03:30:16
36,Asau,46.43,26.4,46.99,98,0,2.86,RO,2020-10-27 03:30:16
37,Port Alfred,-33.59,26.89,67.35,85,68,24.61,ZA,2020-10-27 03:25:35
38,Coihaique,-45.58,-72.07,39.2,86,75,3.36,CL,2020-10-27 03:30:17
39,Cape Town,-33.93,18.42,61.0,93,20,8.05,ZA,2020-10-27 03:28:44
40,Butaritari,3.07,172.79,81.7,65,6,8.05,KI,2020-10-27 03:30:17
41,Sadon,42.85,44.0,46.0,100,2,2.24,RU,2020-10-27 03:30:18
42,Lebu,-37.62,-73.65,51.12,92,100,9.42,CL,2020-10-27 03:30:18
43,San Cristobal,7.77,-72.22,66.56,90,15,2.21,VE,2020-10-27 03:30:19
44,Tekit,20.53,-89.33,81.0,83,90,10.29,MX,2020-10-27 03:30:19
45,Rabat,33.99,-6.84,55.0,87,0,6.93,MA,2020-10-27 03:30:19
46,Falmouth,50.15,-5.07,50.0,93,100,20.8,GB,2020-10-27 03:30:20
47,Pangnirtung,66.15,-65.71,7.02,82,2,6.64,CA,2020-10-27 03:30:20
